Mass (g),Luminosity (erg/s),Pressure (dyn/cm^2),Radius (cm),Temperature (K),Energy Generation Rate (erg/g/s),Opacity (cm^2/g),Adiabatic Gradient,Radiative Gradient,Convective or Radiative
9.29095945945946e+32,4.8028518273115485e+33,2.545028971920886e+16,15693432236.290457,7651260.810520094,0.30922346506851783,0.5434066114631458,0.39959333676014414,0.08224321968989284,RAD
9.299918918918919e+32,4.803128173024631e+33,2.5377474209707516e+16,15705173768.859201,7647139.764579631,0.30765474629106426,0.5436365399368189,0.39959304846592203,0.08214512486807159,RAD
9.308878378378379e+32,4.8034031156518354e+33,2.530480626333497e+16,15716925071.068708,7643019.472522401,0.3060928310551018,0.5438668192255093,0.3995927593035796,0.08204710311318347,RAD
9.317837837837839e+32,4.8036766612837574e+33,2.523228566642667e+16,15728686175.692387,7638899.9256580435,0.30453769308538325,0.5440974474513072,0.3995924692714104,0.08194915403686615,RAD
9.326797297297297e+32,4.8039488159895315e+33,2.515991220567837e+16,15740457115.594618,7634781.115343128,0.302989306214439,0.5443284227100034,0.3995921783676902,0.0818512772466657,RAD
9.335756756756757e+32,4.80421958581683e+33,2.508768566814607e+16,15752237923.73078,7630663.032981148,0.3014476443820148,0.5445597430709658,0.39959188659067635,0.08175347234605304,RAD
9.344716216216217e+32,4.804488976791863e+33,2.5015605841246124e+16,15764028633.147217,7626545.670022529,0.2999126816345216,0.5447914065769847,0.3995915939386093,0.08165573893443454,RAD
9.353675675675675e+32,4.8047569949193783e+33,2.494367251275515e+16,15775829276.98126,7622429.017964622,0.29838439212447393,0.5450234112441547,0.3995913004097102,0.08155807660716936,RAD
9.362635135135135e+32,4.8050236461826614e+33,2.4871885470810056e+16,15787639888.461227,7618313.068351706,0.29686275010994717,0.5452557550617293,0.3995910060021829,0.08146048495558206,RAD
9.371594594594595e+32,4.8052889365435357e+33,2.480024450390805e+16,15799460500.906408,7614197.812774987,0.2953477299540299,0.5454884359919902,0.3995907107142124,0.081362963566978,RAD
9.380554054054055e+32,4.8055528719423624e+33,2.4728749400906636e+16,15811291147.727081,7610083.2428726,0.29383930612427583,0.5457214519700994,0.39959041454396577,0.08126551202465608,RAD
9.389513513513513e+32,4.8058154582980405e+33,2.4657399951023624e+16,15823131862.424498,7605969.3503296105,0.29233745319217,0.5459548009039642,0.3995901174895912,0.08116812990792359,RAD
9.398472972972973e+32,4.8060767015080073e+33,2.458619594383708e+16,15834982678.590902,7601856.126878005,0.29084214583258317,0.5461884806741006,0.3995898195492189,0.08107081679211113,RAD
9.407432432432433e+32,4.806336607448237e+33,2.45151371692854e+16,15846843629.90951,7597743.564296705,0.2893533588232477,0.5464224891334797,0.39958952072096005,0.08097357224858491,RAD
9.416391891891892e+32,4.806595181973242e+33,2.4444223417667268e+16,15858714750.15452,7593631.654411553,0.287871067044217,0.5466568241074028,0.39958922100290706,0.08087639584476364,RAD
9.425351351351352e+32,4.806852430916073e+33,2.437345447964164e+16,15870596073.19112,7589520.389095326,0.2863952454773432,0.546891483393341,0.3995889203931339,0.08077928714413009,RAD
9.434310810810811e+32,4.807108360088318e+33,2.430283014622779e+16,15882487632.97547,7585409.760267722,0.28492586920574897,0.5471264647607942,0.3995886188896949,0.0806822457062461,RAD
9.443270270270271e+32,4.8073629752801026e+33,2.423235020880527e+16,15894389463.554712,7581299.759895374,0.2834629134133051,0.5473617659511496,0.39958831649062637,0.08058527108676691,RAD
9.45222972972973e+32,4.807616282260091e+33,2.416201445911395e+16,15906301599.066975,7577190.379991837,0.28200635338411495,0.5475973846775365,0.399588013193945,0.0804883628374562,RAD
9.46118918918919e+32,4.8078682867754846e+33,2.4091822689253956e+16,15918224073.741365,7573081.612617595,0.2805561645019941,0.547833275458009,0.399587708997648,0.08039151417172875,RAD
9.47014864864865e+32,4.8081189945520223e+33,2.4021774691685732e+16,15930156921.89797,7568973.449880063,0.2791123222499583,0.5480693364816378,0.3995874038997139,0.08029471009227192,RAD
9.479108108108108e+32,4.808368411293982e+33,2.3951870259230024e+16,15942100177.947859,7564865.88393358,0.2776748022097156,0.5483055609168158,0.39958709789810126,0.08019794958954155,RAD
9.488067567567568e+32,4.8086165426841787e+33,2.3882109185067836e+16,15954053876.393085,7560758.906979413,0.27624358006115296,0.5485419458302313,0.3995867909907498,0.08010123222768499,RAD
9.497027027027028e+32,4.8088633943839643e+33,2.3812491262740504e+16,15966018051.82668,7556652.51126576,0.2748186315818409,0.5487784882626777,0.39958648317557877,0.08000455756777736,RAD
9.505986486486487e+32,4.8091089720332304e+33,2.374301628614964e+16,15977992738.932655,7552546.689087744,0.2733999326465206,0.5490151852288833,0.39958617445048866,0.07990792516782862,RAD
9.514945945945946e+32,4.809353281250405e+33,2.3673684049557164e+16,15989977972.486004,7548441.432787417,0.2719874592266153,0.5492520337173916,0.39958586481335956,0.07981133458279772,RAD
9.523905405405406e+32,4.809596327632454e+33,2.3604494347585252e+16,16001973787.352709,7544336.734753758,0.2705811873897287,0.5494890306903953,0.3995855542620521,0.07971478536460054,RAD
9.532864864864866e+32,4.809838116754882e+33,2.3535446975216416e+16,16013980218.489723,7540232.587422674,0.2691810932991532,0.5497261730835938,0.3995852427944066,0.07961827706212138,RAD
9.541824324324324e+32,4.810078654171731e+33,2.3466541727793456e+16,16025997300.944983,7536128.9832770005,0.26778715321338054,0.5499634578060529,0.3995849304082435,0.07952180922122488,RAD
